group,n,mean_alignment,median_alignment,mean_speed_error_mps,mean_displacement_m,mean_alignment_delta,median_alignment_delta,alignment_improved_or_equal,displacement_ratio_in_0p5_1p5,mean_displacement_ratio
K=1,105,0.5834212124563397,0.5438058648292761,0.2659650740433,2.4163846237847064,,,,,
K=8,105,0.5682356757318425,0.5623728568917536,0.24460201306940482,2.355810879698649,,,,,
directional_locomotion_K=1,14,0.6395579306490349,0.5823223391725616,0.19543140399395093,2.5877959770353764,,,,,
directional_locomotion_K=8,14,0.7064852985950364,0.7833425888481558,0.13458047573294205,1.9965582016442447,,,,,
expressive_locomotion_K=1,28,0.3320821953863541,0.2807980455959532,0.30575898444587823,2.7807014823361773,,,,,
expressive_locomotion_K=8,28,0.2886521772734776,0.2540220295842832,0.2915315164571378,3.0282710546469125,,,,,
locomotion_K=1,28,0.6270807244451628,0.6226883198293545,0.30453200724250545,2.888259211572032,,,,,
locomotion_K=8,28,0.6250140874304675,0.6449683194629972,0.28999679758474967,2.8000000008642174,,,,,
static_K=1,7,0.9671554709955752,0.9716871484188607,0.001257423059027538,0.0042911640338570475,,,,,
static_K=8,7,0.9716871484188606,0.9716871484188607,0.0011909036617206933,0.004242259116395044,,,,,
style_locomotion_K=1,14,0.5827425468144453,0.5155476028060964,0.2969592238088063,2.784193925316552,,,,,
style_locomotion_K=8,14,0.5770786447466237,0.5592167395516031,0.26082509075876953,2.54813071677384,,,,,
whole_body_low_K=1,14,0.7514550407982463,0.7894454597093893,0.281136732615712,1.410827806200023,,,,,
whole_body_low_K=8,14,0.665027521029838,0.5990445062875621,0.27545745161418933,1.4652294387413243,,,,,
K8_minus_K1_paired,105,,,,,-0.015185536724497283,-0.023679523486270893,56,72,1.2318808530185366
