video,frames_header,frames_read,fps,duration_s,blank_frame_pct,mean_red_pct,min_red_pct,p10_red_pct,mean_brightness,mean_bright_pct,mean_frame_diff,p90_frame_diff,issues
assets/videos/qualitative/failure_modes_noearly/torque_root_wrench__hrb_034__pushup_pose.mp4,199,199,30.0,6.633333333333334,0.0,0.8068080201353992,0.4437934027777778,0.5235243055555555,74.08760647130326,0.36415584868788387,0.9720793583988028,1.9019745370370378,PASS
assets/videos/qualitative/failure_modes_noearly/self_collision__hrb_093__cartwheel_attempt.mp4,199,199,30.0,6.633333333333334,0.0,1.5112427371231156,0.6413845486111112,1.172873263888889,74.13126479656675,0.37289529243439423,2.8729074307893754,5.029226851851852,PASS
assets/videos/qualitative/failure_modes_noearly/nonfoot_floor_contact__hrb_033__stand_to_kneel.mp4,199,199,30.0,6.633333333333334,0.0,0.7523337171970966,0.29144965277777773,0.5807942708333333,73.94889299288688,0.2814501107970408,0.8670355172091282,2.3816111111111113,PASS
assets/videos/qualitative/failure_modes_noearly/support_balance__hrb_035__sit_to_stand.mp4,199,199,30.0,6.633333333333334,0.0,0.826802196747627,0.427734375,0.6440104166666667,74.22193755961518,0.44079392186627575,1.4014118032173588,2.687527777777778,PASS
assets/videos/qualitative/failure_modes_noearly/controller_trackability__hrb_099__side_roll_recovery.mp4,199,199,30.0,6.633333333333334,0.0,0.9005182160804022,0.44596354166666663,0.49053819444444446,74.18798363562604,0.4096071721454494,2.224696034418257,3.328435185185185,PASS
assets/videos/qualitative/failure_modes_noearly/prompt_support_mismatch__hrb_100__handstand_kickup.mp4,199,199,30.0,6.633333333333334,0.0,0.9023639246580123,0.6817491319444444,0.8118055555555556,74.11319008417375,0.3787241328168622,1.0382528993640106,2.440453703703704,PASS
assets/videos/qualitative/method_point_left_before_after.mp4,249,249,50.0,4.98,0.0,1.756713703773427,1.64501953125,1.6823893229166664,66.22789603945294,1.3141785893574298,0.3085621079749104,1.269826388888889,PASS
assets/videos/qualitative/method_press_panel_before_after.mp4,169,169,50.0,3.38,0.0,1.6210186298076918,1.2770182291666665,1.30244140625,66.04243986211272,1.2592147435897436,1.8681938932980597,3.2667175925925935,PASS
assets/videos/qualitative/method_ankle_sway_before_after.mp4,249,249,50.0,4.98,0.0,1.558924500083668,1.23193359375,1.23291015625,66.0511891598512,1.1749014286311914,0.5458473342293907,1.9740763888888895,PASS
assets/videos/qualitative/method_robot_dance_before_after.mp4,249,249,50.0,4.98,0.0,1.7590799395498662,1.6512044270833335,1.6756510416666668,66.19913484667839,1.266116549531459,0.33530913978494625,1.1423148148148148,PASS
